AccountID,AccountType,Balance,CreditScore,Currency,CustomerID,DateOpened,ManagerID,ODLimit
1225655944140,Business,36684.82,358,GBP,409544,2022-06-20,1256,8756.04
8876511923411,Business,41813.13,680,USD,429713,2023-10-21,692,6114.46
6190138352945,Savings,45432.27,466,EUR,442173,2021-01-01,2190,7137.47
7528522892646,FixedDeposit,48831.12,745,EUR,422759,2022-07-31,859,8517.29
1082633640372,Checking,37847.79,811,USD,421907,2021-01-02,2868,9345.07
5976376228381,Savings,49949.95,655,EUR,434523,2021-07-03,574,2283.96
3732787495463,FixedDeposit,34974.01,397,GBP,430722,2022-09-12,2563,5838.96
5504002857296,Checking,39941.84,437,GBP,437205,2020-03-15,2062,9016.27
6339150512926,Business,12284.72,547,GBP,442804,2021-12-18,2016,5714.27
6362572904456,Savings,34261.71,388,EUR,418272,2023-11-16,1264,8309.12
7282016040399,Savings,37466.24,497,GBP,421412,2024-02-01,1520,7653.24
4813929106456,Savings,16939.2,616,GBP,446132,2020-01-23,1367,1195.57
9852889417905,Savings,3116.41,847,EUR,410683,2021-09-08,2779,9659.76
2531037090518,Checking,22274.57,535,EUR,406999,2022-10-18,320,9015.03
3833891481731,Savings,43267.85,626,GBP,445133,2020-02-10,2406,9655.24
8653242790639,Business,26890.48,837,EUR,407642,2023-02-25,2595,5116.19
6323163240119,Checking,28632.75,349,GBP,432535,2020-08-22,248,4777.29
8595080264385,FixedDeposit,4660.81,425,EUR,406098,2024-04-12,27,5973.85
5150473245320,FixedDeposit,21044.62,464,EUR,434731,2020-03-20,742,6574.35
9439795552529,Business,18076.97,842,GBP,407501,2020-02-14,1331,6161.45
8754851460776,FixedDeposit,19241.31,426,GBP,418739,2021-05-01,2914,9300.09
2972868826789,Savings,27969.45,791,EUR,411230,2021-11-15,2588,4744.49
3079193652631,FixedDeposit,44498.44,464,EUR,417794,2020-08-04,386,5076.1
9440019959288,Business,15669.23,338,USD,446893,2021-12-03,2788,9825.48
3005589670826,Business,24719.21,331,GBP,443621,2020-05-14,770,9544.4
8708926368528,Business,5280.56,571,EUR,429926,2022-04-02,1860,6878.64
7705800767897,Business,32952.79,531,EUR,417746,2021-09-11,2841,3703.13
6649858671373,Savings,43897.96,389,GBP,425083,2023-07-26,253,8630.44
3435908987332,FixedDeposit,43987.05,369,USD,404780,2022-02-01,256,2869.03
